benchmark,scenario,elapsed_s,rows_per_s,n_rows,repeats,python,platform,ts
eoq.deviation_table,synth,0.021,950195.5,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
hierarchical_eoq.shrink_rates,synth,0.0334,599242.0,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
cleaning.standard_clean,synth,0.0317,631185.6,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
imputation.missingness,synth,0.0085,2340522.6,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
imputation.mass_impute,synth-10pct-nan,0.0743,269029.5,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
bullwhip.ratio,synth,0.0003,58788942.6,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
lead_time.km,synth,0.0228,878723.0,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
lead_time.per_group_km,supplier+lane,1.4695,13610.1,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
sustainability.emissions,synth,0.0168,1188869.8,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
sustainability.supplier_score,synth,0.0204,979859.0,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
freight.lane_volatility,synth,0.0062,3217192.7,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
freight.portfolio_mix,synth,0.0054,3736083.1,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
risk.cvar_pareto,n_sims=2000,0.018,1110087.4,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
multi_echelon.safety_stock,synth,0.0026,7555723.4,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
graph.value_stream_build,nodes=1000,0.011,1821079.0,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
graph.degree_centrality,nodes=1000,0.012,1672828.3,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
graph.eigenvector,nodes=1000,0.0119,1678626.9,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
findings_index.bulk_write,n=2000,0.0945,211738.6,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
findings_index.lookup,synth,0.0061,3259186.8,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:29+00:00
