benchmark,scenario,elapsed_s,rows_per_s,n_rows,repeats,python,platform,ts
eoq.deviation_table,synth,0.0455,439536.3,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
hierarchical_eoq.shrink_rates,synth,0.0348,573954.0,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
cleaning.standard_clean,synth,0.0343,582309.4,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
imputation.missingness,synth,0.0094,2130674.3,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
imputation.mass_impute,synth-10pct-nan,0.0907,220438.1,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
bullwhip.ratio,synth,0.0003,57537385.1,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
lead_time.km,synth,0.0235,850275.1,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
lead_time.per_group_km,supplier+lane,1.5206,13152.5,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
sustainability.emissions,synth,0.0403,496385.1,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
sustainability.supplier_score,synth,0.022,908603.6,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
freight.lane_volatility,synth,0.0024,8483203.2,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
freight.portfolio_mix,synth,0.0049,4118785.8,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
risk.cvar_pareto,n_sims=2000,0.0215,931146.4,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
multi_echelon.safety_stock,synth,0.0025,7963368.4,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
graph.value_stream_build,nodes=1000,0.0143,1395342.4,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
graph.degree_centrality,nodes=1000,0.0137,1463903.8,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
graph.eigenvector,nodes=1000,0.0141,1419386.0,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
findings_index.bulk_write,n=2000,0.0719,278009.5,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
findings_index.lookup,synth,0.0043,4683402.1,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T14:39:58+00:00
