benchmark,scenario,elapsed_s,rows_per_s,n_rows,repeats,python,platform,ts
eoq.deviation_table,synth,0.0234,214030.1,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
hierarchical_eoq.shrink_rates,synth,0.0308,162344.5,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
cleaning.standard_clean,synth,0.0099,503499.3,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
imputation.missingness,synth,0.01,501539.7,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
imputation.mass_impute,synth-10pct-nan,0.0357,140221.8,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
bullwhip.ratio,synth,0.0003,14628440.9,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
lead_time.km,synth,0.0145,345006.0,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
lead_time.per_group_km,supplier+lane,1.7729,2820.2,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
sustainability.emissions,synth,0.0121,412150.2,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
sustainability.supplier_score,synth,0.0213,234557.9,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
freight.lane_volatility,synth,0.0022,2259887.0,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
freight.portfolio_mix,synth,0.018,277784.0,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
risk.cvar_pareto,n_sims=2000,0.0123,406041.9,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
multi_echelon.safety_stock,synth,0.0017,2882010.6,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
graph.degree_centrality,nodes=250,0.003,1641227.7,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
graph.eigenvector,nodes=250,0.0032,1565190.2,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
findings_index.bulk_write,n=2000,0.1126,44395.0,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
findings_index.lookup,synth,0.003,1683445.0,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-21T13:52:22+00:00
