benchmark,scenario,elapsed_s,rows_per_s,n_rows,repeats,python,platform,ts
eoq.deviation_table,synth,0.0199,1007302.9,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
hierarchical_eoq.shrink_rates,synth,0.0341,586343.5,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
cleaning.standard_clean,synth,0.0311,643217.1,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
imputation.missingness,synth,0.0083,2401796.6,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
imputation.mass_impute,synth-10pct-nan,0.0761,262650.6,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
bullwhip.ratio,synth,0.0003,58685440.2,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
lead_time.km,synth,0.0221,903595.4,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
lead_time.per_group_km,supplier+lane,1.4958,13370.4,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
sustainability.emissions,synth,0.0164,1216937.3,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
sustainability.supplier_score,synth,0.0204,979839.8,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
freight.lane_volatility,synth,0.0024,8348639.3,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
freight.portfolio_mix,synth,0.0047,4299780.7,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
risk.cvar_pareto,n_sims=2000,0.0183,1094564.9,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
multi_echelon.safety_stock,synth,0.0053,3789314.2,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
graph.value_stream_build,nodes=1000,0.0109,1842757.5,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
graph.degree_centrality,nodes=1000,0.0119,1687023.4,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
graph.eigenvector,nodes=1000,0.0146,1369009.7,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
findings_index.bulk_write,n=2000,0.0845,236776.9,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
findings_index.lookup,synth,0.004,4948780.1,20000,3,3.13.9,Windows-11-10.0.26200-SP0,2026-04-22T01:07:41+00:00
