benchmark,scenario,elapsed_s,items_per_s,n,repeats,python,platform,ts
intent_parser.parse,single_query,0.0,35714.3,1,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
intent_parser.parse,8_paraphrases,0.0001,60836.5,8,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
intent_parser.parse,bulk_2,0.0,73800.5,2,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
mission_store.create_mission,create_2,0.0329,60.8,2,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
mission_store.list_open,limit_50,0.0025,402.7,1,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
mission_store.update_progress,update_2,0.0166,120.3,2,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
schema_synthesizer.synthesize,6_entity_kinds,4.6937,1.3,6,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
viz_composer.compose,100_findings,0.1215,823.2,100,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
viz_composer.compose,1000_findings,0.1389,7198.7,1000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
viz_composer.compose,5000_findings,0.1129,44269.9,5000,1,3.13.9,Windows-11-10.0.26200-SP0,2026-04-23T01:25:00+00:00
