benchmark,scenario,elapsed_s,rows_per_s,n_rows,repeats,python,platform,ts
eoq.deviation_table,synth,0.0195,1026083.0,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
hierarchical_eoq.shrink_rates,synth,0.0309,646742.7,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
cleaning.standard_clean,synth,0.0063,3171834.1,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
imputation.missingness,synth,0.0051,3947186.7,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
imputation.mass_impute,synth-10pct-nan,0.0723,276742.7,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
bullwhip.ratio,synth,0.0003,66867266.8,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
lead_time.km,synth,0.0016,12367819.1,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
lead_time.per_group_km,supplier+lane,0.2327,85956.4,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
sustainability.emissions,synth,0.0198,1012074.0,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
sustainability.supplier_score,synth,0.0241,829266.5,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
freight.lane_volatility,synth,0.0024,8335764.6,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
freight.portfolio_mix,synth,0.0052,3881987.6,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
risk.cvar_pareto,n_sims=2000,0.0182,1096016.5,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
multi_echelon.safety_stock,synth,0.0019,10351967.0,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
graph.degree_centrality,nodes=1000,0.0107,1861365.5,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
graph.eigenvector,nodes=1000,0.0111,1798706.7,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
findings_index.bulk_write,n=2000,0.039,512781.1,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
findings_index.lookup,synth,0.0041,4823577.7,20000,3,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:46+00:00
