benchmark,scenario,elapsed_s,rows_per_s,n_rows,repeats,python,platform,ts
eoq.deviation_table,synth,0.0118,423391.5,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
hierarchical_eoq.shrink_rates,synth,0.0277,180710.6,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
cleaning.standard_clean,synth,0.0043,1172071.9,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
imputation.missingness,synth,0.0032,1550724.2,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
imputation.mass_impute,synth-10pct-nan,0.0352,142141.0,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
bullwhip.ratio,synth,0.0003,18264839.0,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
lead_time.km,synth,0.0012,4277525.9,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
lead_time.per_group_km,supplier+lane,0.2224,22486.8,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
sustainability.emissions,synth,0.0086,580298.9,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
sustainability.supplier_score,synth,0.0208,240161.2,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
freight.lane_volatility,synth,0.0022,2292999.5,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
freight.portfolio_mix,synth,0.0048,1051646.4,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
risk.cvar_pareto,n_sims=2000,0.0153,327030.4,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
multi_echelon.safety_stock,synth,0.0039,1285264.4,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
graph.degree_centrality,nodes=250,0.0026,1951448.0,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
graph.eigenvector,nodes=250,0.0027,1881290.6,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
findings_index.bulk_write,n=2000,0.0418,119497.7,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
findings_index.lookup,synth,0.0046,1082227.7,5000,2,3.14.4,Windows-11-10.0.26200-SP0,2026-04-20T18:19:23
